[this.name:金萨岛伊斯兰风情餐吧天钥桥路店],[this.address:徐汇区天钥桥�?33号腾飞大�?18�?近南丹东�?],[this.telephone:021-64260901  ],[this.averageCost:71],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:96%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:27:14 CST 2013],[this.tags:[拌面, 羊肉�? 大盘�? 酸奶, 风味羊排]],[this.teses:null],,
[this.name:西贝西北菜金桥店],[this.address:浦东新区张杨�?611弄金桥国际商业广�?�?�?金桥路口)],[this.telephone:021-58752999  ],[this.averageCost:70],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:84%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:27:12 CST 2013],[this.tags:[烤羊�? 酸奶, 羊排, 莜面, 莜面鱼鱼, 豆腐]],[this.teses:null]
[this.name:耶里夏丽新疆餐厅天山店],[this.address:长宁区天山路655�?近芙蓉江�?],[this.telephone:021-62748367  ],[this.averageCost:45],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:100%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:27:15 CST 2013],[this.tags:[烤羊�? 羊肉炒饭, 羊肉�? 羊肉薄饼]],[this.teses:null],,,
[this.name:东来顺饭庄石门二路店],[this.address:静安区石门二�?15�?近新闸路)],[this.telephone:021-52287877  ],[this.averageCost:65],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:95%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:27:12 CST 2013],[this.tags:[羊肉, 火锅, 酸梅�? 冰糖葫芦, 东来顺羊肉]],[this.teses:null],
[this.name:西贝西北菜东方路店],[this.address:浦东新区东方�?535�?浦建路口)],[this.telephone:021-58752999  ],[this.averageCost:80],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:100%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:27:13 CST 2013],[this.tags:[羊肉, 羊棒, 羊排不错, 西贝面筋, 苦荞茶]],[this.teses:null]
[this.name:漫驼铃西域餐厅],[this.address:浦东新区张杨�?01号浦东国际美食城3�?近南泉北�?],[this.telephone:021-58361678  ],[this.averageCost:47],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:100%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:27:14 CST 2013],[this.tags:[孜然羊肉夹馍, 罐罐�? 羊肉�? 西辣茄]],[this.teses:null],,,
[this.name:虹口伊斯兰餐厅],[this.address:虹口区四川北�?035�?长春路口)],[this.telephone:021-56660045  ],[this.averageCost:13],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:96%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:27:14 CST 2013],[this.tags:[牛肉锅贴, 牛肉�? 年糕�? 酸辣汤]],[this.teses:null],,,
[this.name:新疆风味饭馆维吾尔餐厅宜山店],[this.address:徐汇区宜山路280�?南丹路蒲汇塘路间)],[this.telephone:021-64689198  ],[this.averageCost:60],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:96%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:27:11 CST 2013],[this.tags:[大盘�? 羊排, 烤全�? 馕包�? 奶茶]],[this.teses:null],,,
[this.name:大天池餐厅赤峰店],[this.address:虹口区赤峰路184号],[this.telephone:021-65987464  ],[this.averageCost:36],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:92%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:27:15 CST 2013],[this.tags:[羊肉�? 大盘�? 丁丁炒面, 过油肉拌面]],[this.teses:null],,,
[this.name:耶里夏丽新疆餐厅田林店],[this.address:徐汇区田林东�?11�?近钦州路)],[this.telephone:021-64519797  ],[this.averageCost:44],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:97%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:27:11 CST 2013],[this.tags:[羊肉�? 煲仔�? 大盘�? 烤羊排]],[this.teses:null],,,,
