[this.name:鼎中鼎澳门豆捞城中店],[this.address：嘉定区城中路2号(嘉定汽车站斜对面)],[this.telephone：021-59162916  ],[this.averageCost：74],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sun Jul 21 10:05:01 CST 2013],[this.tags：[]],[this.teses：null]
[this.name:海底捞火锅吴中路店],[this.address：吴中路1100号(近万源路)],[this.telephone：021-54220948  ],[this.averageCost：],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sun Jul 21 10:05:01 CST 2013],[this.tags：[]],[this.teses：null]
[this.name:鼎中鼎澳门豆捞九亭店],[this.address：松江区九亭大街348号(虬泾路口)],[this.telephone：021-67623512  ],[this.averageCost：74],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sun Jul 21 10:04:55 CST 2013],[this.tags：[]],[this.teses：null]
[this.name:豆捞坊中山公园店],[this.address：长宁路1018号],[this.telephone：021-62116277  ],[this.averageCost：32],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：96%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sun Jul 21 10:04:52 CST 2013],[this.tags：[火锅, 朋友聚餐, 情侣约会]],[this.teses：null]
[this.name:海底捞火锅店铜川路店],[this.address：普陀区铜川路1868号(近真光路)],[this.telephone：021-52765363  ],[this.averageCost：85],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sun Jul 21 10:04:55 CST 2013],[this.tags：[中餐馆, 火锅, 砂锅]],[this.teses：null]
[this.name:鼎中鼎澳门豆捞罗芬店],[this.address：上海市宝山区罗芬路55号],[this.telephone：021-56590886  ],[this.averageCost：],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sun Jul 21 10:05:02 CST 2013],[this.tags：[]],[this.teses：null]
[this.name:鼎中鼎澳门豆捞延长店],[this.address：闸北区延长中路300号堡尼大厦2层(近共和新路)],[this.telephone：021-56031065  ],[this.averageCost：63],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sun Jul 21 10:05:01 CST 2013],[this.tags：[]],[this.teses：null]
[this.name:海底捞火锅店长寿路店],[this.address：普陀区长寿路468号中环商务大厦4层(近常德路)],[this.telephone：021-62770701  ],[this.averageCost：85],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：96%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sun Jul 21 10:04:52 CST 2013],[this.tags：[火锅, 奥运会, 砂锅, 朋友聚会]],[this.teses：null]
[this.name:海底捞火锅店海宁路店],[this.address：虹口区海宁路269号森林湾大厦2层(近吴淞路)],[this.telephone：021-63097326  ],[this.averageCost：74],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：99%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sun Jul 21 10:04:49 CST 2013],[this.tags：[火锅, 火锅店, 有表演, 砂锅]],[this.teses：null]
[this.name:鼎中鼎澳门豆捞南桥店],[this.address：奉贤区南桥镇解放中路35号(近人民中路)],[this.telephone：021-57423738  ],[this.averageCost：72],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sun Jul 21 10:05:04 CST 2013],[this.tags：[]],[this.teses：null]
[this.name:鼎中鼎澳门豆捞共和新路店],[this.address：闸北区共和新路3318号大润发超市2层(近江场西路)],[this.telephone：021-56776227  ],[this.averageCost：62],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sun Jul 21 10:05:17 CST 2013],[this.tags：[]],[this.teses：null]
[this.name:小尾羊中春路店],[this.address：闵行区中春路3455弄3483号],[this.telephone：021-54832577  ],[this.averageCost：54],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：50%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sun Jul 21 10:05:19 CST 2013],[this.tags：[火锅, 中餐馆, 砂锅]],[this.teses：null]
