[this.name:豆捞坊大宁店],[this.address:共和新路1978号],[this.telephone:021-33870277  ],[this.averageCost:83],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:95%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:50 CST 2013],[this.tags:[火锅, 可用信用卡, 朋友聚餐]],[this.teses:null]
[this.name:海逸海鲜奉贤店],[this.address:地址：奉贤区南奉公路8509弄南桥28号],[this.telephone:],[this.averageCost:],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:],[this.markedCount:0],[this.nickName:HARBOUR PLAZA],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:46 CST 2013],[this.tags:[]],[this.teses:null]
[this.name:膳晨楼海鲜大酒店白丽路店],[this.address:地址：普陀区桃浦镇白丽路718号],[this.telephone:021-66272777],[this.averageCost:100],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:100%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:46 CST 2013],[this.tags:[]],[this.teses:null]
[this.name:豆捞坊中山公园店],[this.address:长宁路1018号],[this.telephone:021-62116277  ],[this.averageCost:32],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:96%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:46 CST 2013],[this.tags:[火锅, 朋友聚餐, 情侣约会]],[this.teses:null]
[this.name:豆捞坊莘庄店],[this.address:都市路5001号],[this.telephone:021-58361777  ],[this.averageCost:81],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:100%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:50 CST 2013],[this.tags:[餐饮美食, 餐饮]],[this.teses:null]
[this.name:海逸海鲜古北总店],[this.address:地址：长宁区延安西路2635号美丽华花园ab幢首层(近水城路)],[this.telephone:021-62701998],[this.averageCost:158],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:100%],[this.markedCount:0],[this.nickName:HARBOUR PLAZA],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:46 CST 2013],[this.tags:[乳鸽, 鲍汁凤爪, 燕鲍翅, 芒果布丁, 榴莲酥]],[this.teses:null]
[this.name:喜多屋国际海鲜料理],[this.address:浦东新区陆家嘴西路168号正大广场7f04-06室(近东方明珠)],[this.telephone:021-50470761  ],[this.averageCost:122],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:98%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:48 CST 2013],[this.tags:[帝王蟹, 帝王蟹沙拉, 三文鱼, 色拉, 生蚝]],[this.teses:null]
[this.name:王朝大酒店徐汇店],[this.address:徐汇区肇嘉浜路288号（近大木桥路）],[this.telephone:021-64718777  ],[this.averageCost:216],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:97%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:47 CST 2013],[this.tags:[龙井虾仁, 法式蜗牛, 鹅肝酱, 蟹斗, 嫩鸡]],[this.teses:null]
[this.name:海逸海鲜东方明珠店],[this.address:地址：浦东新区滨江大道2450号],[this.telephone:021-58878997],[this.averageCost:136],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:100%],[this.markedCount:0],[this.nickName:HARBOUR PLAZA],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:46 CST 2013],[this.tags:[虾饺, 乳鸽]],[this.teses:null]
[this.name:宏博坊海鲜大酒楼],[this.address:浦东新区东方路3641-3643号],[this.telephone:021-58732988  ],[this.averageCost:99],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:47 CST 2013],[this.tags:[富贵鲍鱼菇, 炭烧牛仔骨, 酱烧茄子, 南瓜盅]],[this.teses:null]
[this.name:王朝大酒店浦东店],[this.address:浦东新区陆家嘴环路958号华能大厦3层(近银城中路)],[this.telephone:021-58827777  ],[this.averageCost:136],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:100%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:58 CST 2013],[this.tags:[水晶虾仁, 烤鳗鱼, 鹅肝, 熏鸭, 起司扇贝王]],[this.teses:null]
[this.name:豆捞坊宝山万达店],[this.address:一二八纪念路988弄1号楼3楼325铺],[this.telephone:021-63175777  ],[this.averageCost:],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:53 CST 2013],[this.tags:[]],[this.teses:null]
[this.name:小猪头自助火锅],[this.address:上海市杨浦区长阳路1687（长阳休闲广场内）],[this.telephone:021-55095757  ],[this.averageCost:],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:54 CST 2013],[this.tags:[烤肉, 火锅]],[this.teses:null]
[this.name:榕港海鲜大酒楼松江店],[this.address:松江区翔峰路371弄88号松江商业广场],[this.telephone:021-67732666  ],[this.averageCost:209],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:100%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:55 CST 2013],[this.tags:[大龙虾, 榕港第一包, 清蒸鳜鱼, 千里飘香]],[this.teses:null]
[this.name:豪皇粤菜料理专家程家桥路店],[this.address:闵行区程家桥路175号(近延安西路)],[this.telephone:021-64659797  ],[this.averageCost:361],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:100%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:58 CST 2013],[this.tags:[海参, 榴莲酥, 红子鸡, 鱼翅, 乳鸽, 北极贝]],[this.teses:null]
[this.name:馔巴黎海鲜百汇餐厅],[this.address:卢湾区打浦路15号斯格威铂尔曼大酒店b1层(南塘浜路与徐家汇路之间)],[this.telephone:021-63057989  ],[this.averageCost:198],[this.openTime:null],[this.closeTime:null],[this.description:null],[this.fuwu:0],[this.huanjing:0],[this.kouwei:0],[this.xingjiabi:0],[this.grade:96%],[this.markedCount:0],[this.nickName:null],[this.cateType:null],[this.enable:false],[this.joinedDate:Mon Jul 22 20:18:52 CST 2013],[this.tags:[帝王蟹, 海参, 巧克力金字塔, 提拉米苏]],[this.teses:null]
